Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Fabric (product.metafields.shopify.fabric),Footwear material (product.metafields.shopify.footwear-material),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Shoe size (product.metafields.shopify.shoe-size),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Edited Title
emerald-crystal-bridal-necklace-earrings-set-tt1118,Emerald Crystal Bridal Necklace & Earrings Set TT1118,"<p data-start=""317"" data-end=""599"">Dazzle with timeless elegance in our Emerald Crystal Bridal Necklace &amp; Earrings Set.</p>
<p data-start=""317"" data-end=""599"">Designed for brides who adore luxury with a touch of colour, this jewellery set combines brilliant clear crystals with rich emerald-green teardrop stones in a refined silver-tone setting.</p>
<p data-start=""601"" data-end=""848"">The necklace features a fine line of sparkling crystals, cascading into a double-drop emerald and crystal pendant for an elegant focal point. Matching drop earrings mirror the design, completing a harmonious set that frames the face beautifully.</p>
<p data-start=""850"" data-end=""1137"">Perfect as a statement bridal accessory, this set also works as an heirloom-inspired choice for bridesmaids, evening wear, or glamorous occasions. With its regal emerald tones, this jewellery makes the perfect complement to both classic bridal gowns and modern emerald-accented themes.</p>
<p data-start=""1139"" data-end=""1158""><strong data-start=""1139"" data-end=""1156"">Key Features:</strong></p>
<ul data-start=""1159"" data-end=""1440"">
<li data-start=""1159"" data-end=""1230"">
<p data-start=""1161"" data-end=""1230"">Bridal necklace &amp; earrings set with emerald-green teardrop crystals</p>
</li>
<li data-start=""1231"" data-end=""1290"">
<p data-start=""1233"" data-end=""1290"">Silver-tone finish with brilliant clear crystal accents</p>
</li>
<li data-start=""1291"" data-end=""1339"">
<p data-start=""1293"" data-end=""1339"">Lightweight and comfortable for all-day wear</p>
</li>
<li data-start=""1340"" data-end=""1385"">
<p data-start=""1342"" data-end=""1385"">A stunning “something green” for weddings</p>
</li>
<li data-start=""1386"" data-end=""1440"">
<p data-start=""1388"" data-end=""1440"">Ideal for brides, bridesmaids, and evening glamour</p>
</li>
</ul>",TopknotTiaras,Apparel & Accessories > Jewelry > Jewelry Sets,Necklace Sets,"Necklace Sets, New Arrival",TRUE,Title,Default Title,,,,,,,,,0.0,shopify,20,deny,manual,42.00,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0575/6380/7896/files/Emerald-Crystal-Bridal-Necklace-Earrings-Set-TT111-0.jpg?v=1758476747,1,Emerald Crystal Bridal Necklace & Earrings Set TT1118,FALSE,Emerald Bridal Necklace & Earrings Set Emerald Bridal Necklace & Earrings Set,Shine with elegance in this emerald bridal necklace & earrings set. A dazzling crystal wedding jewellery design for brides seeking timeless luxury.,,,,,,,,,,,,,,,clear; green; silver,,,,,,,,,,,,,kg,,,active,Emerald Bridal Crystal Necklace & Earrings Set
emerald-crystal-bridal-necklace-earrings-set-tt1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0575/6380/7896/files/Emerald-Crystal-Bridal-Necklace-Earrings-Set-TT111-6383.jpg?v=1758476752,2,Emerald Crystal Bridal Necklace & Earrings Set TT1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emerald-crystal-bridal-necklace-earrings-set-tt1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0575/6380/7896/files/Emerald-Crystal-Bridal-Necklace-Earrings-Set-TT111-9906.jpg?v=1758476756,3,Emerald Crystal Bridal Necklace & Earrings Set TT1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emerald-crystal-bridal-necklace-earrings-set-tt1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0575/6380/7896/files/Emerald-Crystal-Bridal-Necklace-Earrings-Set-TT111-5320.jpg?v=1758476760,4,Emerald Crystal Bridal Necklace & Earrings Set TT1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emerald-crystal-bridal-necklace-earrings-set-tt1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0575/6380/7896/files/Emerald-Crystal-Bridal-Necklace-Earrings-Set-TT111-1693.jpg?v=1758476765,5,Emerald Crystal Bridal Necklace & Earrings Set TT1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pink-crystal-bridal-necklace-earrings-set-blush-wedding-jewellery-tt1117,Pink Crystal Bridal Necklace & Earrings Set | Blush Wedding Jewellery TT1117,"<p data-start=""272"" data-end=""563"">Embrace romance and grace on your wedding day with our Pink Crystal Bridal Necklace &amp; Earrings Set.</p>
<p data-start=""272"" data-end=""563"">This refined jewellery set features sparkling clear crystals in a timeless silver-tone finish, accented with delicate pink teardrop stones for a soft, feminine touch.</p>
<p data-start=""565"" data-end=""877"">The necklace boasts a fine line of shimmering crystals that lead to a cascading pink pendant, complemented by matching drop earrings that frame the face with subtle sparkle. Lightweight and comfortable, this bridal jewellery set is perfect for brides, bridesmaids, or anyone seeking a touch of refined glamour.</p>
<p data-start=""879"" data-end=""1019"">The soft blush hue makes it an ideal choice for spring and summer weddings, adding a hint of colour without overpowering your bridal look.</p>
<p data-start=""1021"" data-end=""1040""><strong data-start=""1021"" data-end=""1038"">Key Features:</strong></p>
<ul data-start=""1041"" data-end=""1331"">
<li data-start=""1041"" data-end=""1109"">
<p data-start=""1043"" data-end=""1109"">Bridal necklace &amp; earrings set with pink teardrop crystals</p>
</li>
<li data-start=""1110"" data-end=""1168"">
<p data-start=""1112"" data-end=""1168"">Elegant silver-tone setting with clear crystal accents</p>
</li>
<li data-start=""1169"" data-end=""1215"">
<p data-start=""1171"" data-end=""1215"">Lightweight, comfortable, and easy to wear</p>
</li>
<li data-start=""1216"" data-end=""1274"">
<p data-start=""1218"" data-end=""1274"">Perfect for brides, bridesmaids, and special occasions</p>
</li>
<li data-start=""1275"" data-end=""1331"">
<p data-start=""1277"" data-end=""1331"">A romantic and feminine choice for wedding jewellery</p>
</li>
</ul>",TopknotTiaras,Apparel & Accessories > Jewelry > Jewelry Sets,Necklace Sets,"Necklace Sets, New Arrival",TRUE,Title,Default Title,,,,,,,,TT-1117,0.0,shopify,20,deny,manual,42.00,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0575/6380/7896/files/Pink-Crystal-Bridal-Necklace-Earrings-Set-Blush-We-0.jpg?v=1758473062,1,Pink Crystal Bridal Necklace & Earrings Set | Blush Wedding Jewellery TT1117,FALSE,Pink Bridal Necklace & Earrings Set,Add romance with this pink bridal necklace & earrings set. Elegant blush wedding jewellery for brides and bridesmaids seeking timeless sparkle.,,,,,,,,,,,,,,,silver; pink,,,,,,,,,,,,,kg,,,active,Pink Bridal Necklace & Earrings Set
pink-crystal-bridal-necklace-earrings-set-blush-wedding-jewellery-tt1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0575/6380/7896/files/Pink-Crystal-Bridal-Necklace-Earrings-Set-Blush-We-1255.jpg?v=1758473066,2,Pink Crystal Bridal Necklace & Earrings Set | Blush Wedding Jewellery TT1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pink-crystal-bridal-necklace-earrings-set-blush-wedding-jewellery-tt1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0575/6380/7896/files/Pink-Crystal-Bridal-Necklace-Earrings-Set-Blush-We-8466.jpg?v=1758473069,3,Pink Crystal Bridal Necklace & Earrings Set | Blush Wedding Jewellery TT1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pink-crystal-bridal-necklace-earrings-set-blush-wedding-jewellery-tt1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0575/6380/7896/files/Pink-Crystal-Bridal-Necklace-Earrings-Set-Blush-We-6776.jpg?v=1758473073,4,Pink Crystal Bridal Necklace & Earrings Set | Blush Wedding Jewellery TT1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pink-crystal-bridal-necklace-earrings-set-blush-wedding-jewellery-tt1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0575/6380/7896/files/Pink-Crystal-Bridal-Necklace-Earrings-Set-Blush-We-8399.jpg?v=1758473078,5,Pink Crystal Bridal Necklace & Earrings Set | Blush Wedding Jewellery TT1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
